query,label,paraphrase
در ورودی های خودم رتبه چندمم؟,1,
زمان انتخاب واحد کی است؟,1,
برای مهمان شدن چه اقداماتی باید کرد؟,1,
میخوام رمز گلستان رو بازیابی کنم.,1,
ترم بعدی چند واحد میتوانم انتخاب کنم؟,1,
برنامه امتحانی رو کجا میتونم ببینم؟,1,
درس گرافیک کامپیوتری را ترم بعدی ارائه میدهید؟,1,
استاد آزمایشگاه دیتابیس چه کسی است؟,1,
تا کی میتونم حذف کنم؟,1,
تعداد واحدام به حدنصاب نریسده میتونید یه چندتا درس بدید؟,1,
ظرفیت درسارو زیاد میکنید؟,1,
اومدم کارنامه مهر خورده بگیرم.,1,
شرایط واحد بیشتر گرفتن چیه؟,1,
معاون اموزشی کیه؟,1,
میدونید کلاس مبانی برنامه نویسی کجا هست؟,1,
شرایط ارشد بدون کنکور چه است؟,1,
معدل کلم چنده؟,1,
چند واحد میتوان در هر ترم حذف کرد؟,1,
برای انجام کارای کارآموزی کجا باید برم؟,1,
تا چند ترم میتونم اینجا باشم؟,1,
سایت دانشکده کجاست؟,2,
فردا دانشگاه باز هست؟,2,
اتاق اساتید کجا میشه؟,2,
مسئولین کارآموزی چه زمان هایی در دانشکده هستند؟,2,
آموزش کی از ناهار برمیگردن؟,2,
رئیس دانشکده کیه؟,2,
آمفی تئاتر کجاست؟,2,
دانشکده فیزیک کجا میشه؟,2,
چجوری از اینجا برم خوابگاه؟,2,
تالار ابوریحان در کدام نقطه از دانشکده است؟,2,
کتابخانه مرکزی دانشگاه کجا قرار دارد؟,2,
دانشگاه زمین فوتبال داره؟,2,
آموزش تیرانداز ی بازهم خواهیم داشت؟,2,
نزدیکترین بوفه به دانشکده کجاست؟,2,
از سلف راهی به دانشکده هست که شیبش کم باشه؟,2,
رمز اینترنت دانشکده جیه؟,2,
چجوری میشه رفت سایت؟,2,
ببخشید سالن ورزشی خوابگاه کجا هستش؟,2,
دانشکده چند طبقه دارد؟,2,
ببخشید آبخوری کجاست؟,2,
دفتر معاون آموزشی کجا قرار دارد؟,2,
چجوری میشه رفت سلف؟,2,
تو سایت اوبونتو داریم؟,3,
ویندوز ورژن چند نصب داریم رو کامپیوترا؟,3,
جریمه تاخیر در برگرداندن کتاب چقدر است؟,3,
کتاب دایتل رو دارید؟,3,
چندتا کامپیوتر در سایت موجود داریم؟,3,
کامپیوتر سوم تو سایت روشن نمیشه.,3,
برا گرفتن کتاب از کتابخونه باید جایی ثبت نام کنم؟,3,
جه مدت میشه از کامپیوترای سایت استفاده کرد؟,3,
میتونیم از سایت برای برگذاری مسابقه استفاده کنیم؟,3,
مدت زمان نکهداشتن کتاب ماکسیمم چقدره؟,3,
کتاب در مورد برنامه نویسی به زبان gezel در کتابخانه موجود داریم؟,3,
چند کتاب به صورت همزمان میتوان از کتابخانه گرفت؟,3,
میشه تو کامپیوترها خودمون برنامه نصب کنیم؟,3,
ورژن 32 بیتی اوبونتو روی کامپیوترای سایت داریم؟,3,
چه تعداد کتاب در کتابخانه موجود است؟,3,
بخش مربوط به دانشچویان دکترا در سایت کجاست؟,3,
کدوم چاپ های کتاب هالیدی موجود هستن؟,3,
برای استفاده از سایت باید اکانت ساخت؟,3,
میشه لپتاپ رو اینجا با ethernet به اینترنت وصل کرد؟,3,
این کتابخونه با کتابخونه مرکزی در ارتباط هست؟,3,
آقا لابیمونو چیکار کردید؟,4,
منطقیه سوال 12 قسمت تشریحی باشه هرکدوم چندخطی بعد 15 دقیقه وقت؟,4,
استادا رو کنترل کنید امتحانا رو به بهونه مجازی بودن بیش حد سخت کردن.,4,
درس طراحی الگوریتم یه استاد دیگه ارائه بده.,4,
چرا به ما فرجه نمیدین؟,4,
درسای بیشتر واسه اختیاریا ارائه بدید.,4,
چرا آبخوری دانشکده را برداشتید؟,4,
جلوی استادانی که به بهانه مجازی بودن پروژه های بیش از حد سنگین میدهند را بگیرید.,4,
میشود درس بازی سازی را به عنوان درس اختیاری ارائه دهید؟,4,
چرا اندازه کلاس ها انقدر کوچک است؟,4,
نمیشود دانشکده را به مکانی بزرگتر منتقل کنیم؟,4,
سرعت اینترنت دانشکده خیلی کم است. لطفا پیگیری شود.,4,
بعضی درس ها هیچ اهمیتی به تایم نهار نمیدهند و اون موقع کلاس برقرار میشه. اینو لطفا درست کنید.,4,
برخی استادها هیچ اهمیتی به اینکه دانشجو جز درس آن ها کار و زندگی دارد نمیدهند و تکلیف های سنگین و زیاد میدهند.,4,
