id,query,label
0,شرایط حذف ترم چیه؟,1
1,از کجا می تونم با دکتر وحیدی ارتباط برقرار کنم؟,2
2,بوفه برداران تا ساعت چند باز است؟,2
3,کمترین تعداد واحد چند عدد است؟,1
4,سنگ جامد است,5
5,سرورای دانشکده مشکل دارن؟,3
6,کلاس آزمایشگاه فیزیک در دانشکده خودمان برگزار میشود یا دانشکده فیزیک؟,2
7,شرایط حذف پزشکی چیه؟,1
8,در شرایطی ساعت و روز کلاسی جابجا می شود؟,1
9,سطل آشغال در کلاس 101 وجود ندارد.,4
10,در حذف و اضافه چند واحد میتوانم بردارم؟,1
11,پارک علم و فناوری چیه؟,5
12,بازه امتحانات چه زمانی است؟,1
13,چطوری بفهمم مدارکم کامله یا نه ؟,1
14,انتخاب واحد برای ورودی 1398 برای نیم فصل اول چه زمانی است؟,1
15,زمان انتخاب واحد کیه؟,1
16,میشه ماشین اورد تو دانشگاه یا نه؟,5
17,خوابگاه کجاست؟,2
18,کتابخانه کجاست؟,2
19,زباله های خوابگاه را چه ساعتی باید گذاشت دم در؟,5
20,رئیس سابق دانشکده چه شخصی است؟,2
21,زیراکس کجا واقع شده؟,2
22,نحوه ی پخت قرمه سبزی را توضیح بده.,5
23,طبقه دوم گرم کن داره؟,2
24,چند واحد می تونم هر ترم انتخاب کنم؟,1
25,اتاق بازی و فوتبال دستیو برگردونید.,4
26,استاد محمدی رفتار بسیار محترمانه ای با دانشجو دارد,4
27,دانلود فیلم Manchester by the sea,5
28,شماره اتاق دکتر شمس فرد چند است؟,2
29,زمین چمن دانشگاه کی سانس خالی داره؟,5
30,از دانشگاه چطور می تونم برم ترمینال؟,5
31,چرا فضای لابی را از دانشجو ها گرفتید؟,4
32,گروه های علمی کجان ؟,2
33,برخی از صندلی های کلاس ها خرابه، لطفا تعمیر بشه.,4
34,امتحان ها کی شروع می شوند؟,1
35,توی گلستان اجازه دیدن رتبه معدل در بین ورودی ها رو بدین.,4
36,حذف و اضافه کی هست,1
37,نمره درس کارآموزی توی معدل حساب میشه؟,1
38,ثبت نام کجاست؟,1
39,زمان درس افزار خرابه,4
40,چرا گلستان اجازه ی برداشتن این گروه را نمیدهد؟,1
41,معدل لازم برای مشروط نشدن چقدره؟,1
42,برای مهمان شدن در دانشگاه دیگر باید چه کاری انجام دهم؟,1
43,غذا امروز چیه؟,5
44,کدوم استاد این ترم ریاضی 2 ارایه میده؟,1
45,لابی کجاست,2
46,استخر کجاست؟,5
47,سایت اسکنر دارد؟,3
48,درس گرافیک کامپیوتری را ترم بعدی ارائه میدهید؟,1
49,رئیس دانشگاه چه کسی است؟,2
50,هوا خیلی سرد شده است,5
51,حداکثر چند کتاب رو می تونم همزمان امانت بگیرم؟,3
52,اتاق معاون آموزشی کجاست؟,2
53,تی ای های فلان درس اصلا خوب نیستند!,4
54,لطفا تعداد اساتید درس ریزپردازنده را بیشتر کنید,4
55,دانشگاه سالن دارد؟,5
56,آیا در حذف اظطراری هر چند واحد می خواهیم می توانیم حذف کنیم؟,1
57,سلف غذاخوری کجاست؟,2
58,می خواهم دانشکده را برای جشن عروسی رزرو کنم.,2
59,دستشویی کجاست؟,2
60,تعداد انجمن علمی ها خیلی کم است,4
61,مهلت وارد کردن نمره برای درس رو بیشتر کنین.,4
62,شرایط مشروط شدن را نمی,1
63,تاریخ انتخاب واحد چه روزی است؟,1
64,سلف کجاست؟,2
65,قیمت این پیتزا چند,5
66,آیا کتابخانه کتاب سیگنال اپنهایم رو داره؟,3
67,شماره تلفن اتاق دکتر ابراهیمی مقدم چند است؟,2
68,کامپیوتر سایت اینتدنت دارد؟,3
69,یکی از کامپیوتر های سایت مشکل داره.,3
70,کجا میتوانم جست و جو کنم؟,3
71,آخرین مهلت حذف کی است؟,1
72,چقدر جریمه دارم؟,3
73,کلاس هوش مصنوعی در کدام کلاس برقرار می شود ؟,2
74,به استادا بگید تابم کافی بدن واسه امتحان.,4
75,دانشکده ریاضی چه قدر فاصله دارد؟,2
76,معافیت تحصیلی تا کیه؟,5
77,هاب کجاست؟,2
78,چارت مهندسی کامپیوتر را بهتر کنید!,4
79,کنکور ارشد چه تاریخی برگزار میشه؟,5
80,سالن داشنگاه رو چجوری میشه گرفت؟,5
81,شرایط گرفتن معرفی به استاد چجوریه؟,1
82,پریز های میز ردیف 4 آمفی تئاتر برق ندارند.رسیدگی کنید,4
83,چگونه میتوان دروس پیشنیاز و همنیاز را با هم برداشت؟,1
84,یوزر نیم سیستم چیه,3
85,نمره,1
86,کیف پول من گمشده. کسی آن را به شما تحویل نداده؟,2
87,خود اساتید نظرسنجی را می بینند؟,1
88,اساتید خیلی سختگیراند,4
89,رییس کل دانشگاه رو کجا می شود دید؟,2
90,میانگین h-index اساتید دانشکده چقدر است؟,5
91,چگونه جریمه نخورم؟,3
92,سطح امتحانات با سطح آموزش تناسب ندارد.,4
93,محل تشکیل کلاس مبانی کامپیوتر کجا است؟,2
94,چرا برای دانشجویان پارکینگ مناسب تعیبیه نشده است؟,5
95,نزدیکترین مکان به سلف غذا خوری چیست؟,2
96,معدل من در 15 درصد ممتاز می باشد ؟,1
97,کامپیوتر های سایت اوبونتو نصب دارن؟,3
98,اتاق معاون آموزشی کدام طبقه است؟,2
99,اتوبوس خوابگاه چه ساعتی میاد؟,2
100,چرا زمان بعضی کلاس ها بیشتر از 75 دقیقه است ؟,4
101,تنوع محصولات بوفه را بیشتر کنید.,4
102,سطح تمرینات درس هوش مصنوعی بالاست.,4
103,برای هر کلاس تعدادی سیم رابط قرار بدید.,4
104,چرا برای فرجه و زمان استراحت دانشکده های مهندسی درست برنامه ریزی نشده است؟,5
105,سایت کجاس ؟,2
106,انجمن های دانشکده چی هستند؟,2
107,ممنون بابت سرویس دانشگاه.,4
108,این کتاب را چه کسی برده است؟,3
109,اموزش فیزیک چندده؟,5
110,کتابخانه مختلط است؟,3
111,تسهیلات استعداد درخشان چیست؟,1
112,شرایط برداشتن رشته فرعی چیست؟,1
113,سرویس دانشگاه کجاست؟,5
114,ماشین قهوه دانشکده درست کار نمی کنه.,4
115,حداقل نمره لازم برا قبولی در یک درس 3 واحدی چیست ؟,1
116,ساعات حضور دکتر شاملی در دفترشان به چه صورت است؟,2
117,ساعت درس افزار رو درست کنید.,4
118,آموزش کجاست؟,1
119,حذف و اضافه چند واحد میتوان تغییر داد؟,1
120,حذف و اضافه تا کیه؟,1
121,از کجا میتونم گواهی اشتغال به تحصیل بگیرم؟,1
122,چه بازه ای از معدل الف حساب میشود ؟,1
123,آیا امکان رزرو کتاب وجود دارد ؟,3
124,از کجا میتونم کتابای الکترونیک بگیرم ؟,3
125,مسئول حراست ادب را رعایت نمیکند.,4
126,لیست دروس ارائه شده ترم آتی را از کجا میتوانم ببینم؟,1
127,با اتوبوس میشه رفت تجریش؟,5
128,کجا میشه نشست ؟,2
129,سیستم های سایت برای پردازش های سنگین جوابگو هست؟,3
130,مدارک مورد نیاز برای گرفتن وام دانشجویی؟,2
131,اتاق رییس دانشکده کدوم طبقه است؟,2
132,میشه سیستم عامل رایانه ی سایت رو عوض کنیم؟,3
133,ترم اول هستم اطلاعاتی ندارم.,1
134,سایت باز است؟,3
135,قدیمی ترین چاپ مربوط به کدام کتاب است؟,3
136,تعداد غیبت مجاز برای هر درس چقدره؟,1
137,جشن روز دانشجو کجا برگزار میشه؟,2
138,اتاق خواب داریم ؟,2
139,آمفی تئاتر کجاست؟,2
140,به فرجه نیاز داریم,4
141,کلاسا کی شروع میشه؟,1
142,ناهار خوری از چه ساعتی تا چه ساعتی سرویس دهی دارد؟,2
143,سلف کجاست؟,2
144,حداقل نمره برای عدم مشروطی چقدر است ؟,1
145,لطفا برای امفی تاتر سیستم گرمایشی بذارید.,4
146,سایت دانشگاه کنده,4
147,در حذف و اضافه اول ترم چند واحد میتوان حذف کرد؟,1
148,تعداد ون هایی که به دانشکده میان رو بیشتر کنید,4
149,میخوام با اساتید صحبت کنم.,2
150,کدام اساتید دانشکده هیئت علمی هستند؟,2
151,پایین امدن سطح اب دریاها چه مشکلاتی را ایجاد میکند؟,5
152,محل غذاخوردن در خوابگاه کجا می باشد؟,2
153,شماره صندلی های امتحانات را کجا نوشتند؟,1
154,اتاق اساتید کجاست؟,2
155,به کامپیوتری نیاز دارم که رم بیشتر از 16 گیگابایت داشته باشد.,3
156,دفتر ریاست کل کجاست؟,2
157,نظرسنحی اساتید دارای کمبود سوال های اساسی است.,4
158,کتاب CLRS موجود هست؟,3
159,کتاب را تا کی میتوانم تحویل بدهم؟,3
160,مهلت حذف تا کیه؟,1
161,ظرفیت محدود برای بعضی از کلاس ها,4
162,ارور تایپ ارور به چه معناست؟,5
163,آیا در ایام کرونا اجازه نشستن پشت دو کامپیوتر بقل هم را داریم؟,3
164,این یه گفته خبری است برای تست تو ای کیوسک.,5
165,در ایام کرونا از چه ساعتی تا چه ساعتی باز هستید؟,3
166,برای حذف تک درس چه کار هایی باید انجام بدم؟,1
167,کدام در دانشگاه به دانشکده نزدیکتر می باشد؟,2
168,آخرین ویرایش کتاب clrs چند است؟,3
169,چه تبعاتی دارد اگر نظرسنجی اساتید را انجام ندهم؟,1
170,استاد محمدی اصلا محترم نیست,4
171,سلف روز های پنجشنبه هم غذا میدهد,5
172,نمره دروس افتاده هم در معدل تاثیر میگذارد؟,1
173,در ترم تابستان چه درس هایی ارائه میشود؟,1
174,اطلاعات استاد های دنیا از کجا پیدا کنم,5
175,ایا می توانم با استفاده از کامپیوتر سایت فیلم اموزشی انلاین ببینم ؟,3
176,شرایط معرفی به استاد چیست؟,1
177,رم این سیستم چنده؟,3
178,درِ کلاس 204 گیر کرده و باز نمیشود.,4
179,کتابخانه تا چه زمانی باز است,3
180,لطفا نرم افزار های مفید را روی سرور قرار دهید.,4
181,سقف تعداد واحد مجاز هر ترم چند واحد میباشد؟,1
182,شرایط کار در کتابخانه چیست؟,3
183,کاپشنم رو توی دانشکده گم کردم. کجا می ذارنش؟,2
184,چرا وسط لابی کلاس زدن؟,5
185,چگونه برنامه بنویسم؟,5
186,سرویس بهداشتی دانشکده کجا است؟,2
187,مسئول آموزش دانشکده کامپیوتر چه کسی است؟,2
188,کاری کارکنان آموزش تا کی هستند؟,2
189,چه لپ تاپی خوبه بگیرم؟,5
190,در چه سامانه ای باید ثبت نام کنم؟,1
191,شرایط حذف ترم چیه؟,1
192,چرا لابی دانشکده رو اینکاری کردید؟,4
193,سختگیری های بی,4
194,کتابخانه,3
195,فرجه قبل امتحانات چند روز است؟,1
196,در مجموع چند واحد عمومی باید پاس کنیم؟,1
197,روز دانشجو چه روزی است؟,5
198,برای ناهار کجاها میشود رفت؟,5
199,امروز چه روزی از ماه می باشد؟,5
200,رمز مودم دانشکده چیست؟,2
201,کدام استاد بهتر درس میدهد؟,5
202,چرا هیچ راه ارتباطی به جز ایمیل با بعضی اساتید وجود ندارد؟,1
203,سقف زمانی نگه داشتن کتاب چقدر است ؟,3
204,میتونم لپ تاپمو با کامپیوترای سایت شبکه کنم؟,3
205,مرا برای اکانت گرفتن روی سرور دانشکده راهنمایی کنید.,3
206,غذا خیلی خوشمزه بود.,5
207,فاصله ی بین کلاس ها را بیشتر کنید,4
208,رزرو غذا دانشجویی به چه نحوی است؟,2
209,چه سالی هستیم الان به تقویم مایا؟,5
210,چگونه میتوانم ترمم را حذف کنم؟,1
211,از کجا می توانم سه راهی بگیرم؟,2
212,توی انتخاب واحد ظرفیت معماری پر شد میشه افزایش ظرفیت بدین؟,1
213,دانشکده الهیات و ادیان کجاست؟,2
214,رمز کتابخانه را فراموش کرده,3
215,دانشگاه اردو هم میبره؟,5
216,اگه می شه در حیاط رو باز کنید.,2
217,چگونه فوتبال بازی کنیم ؟,5
218,هر کتاب را چه مدت میتوان امانت گرفت؟,3
219,کارت سلف کار نمی,5
220,مهلت حذف تک درس و حذف ترم یکیه ؟,1
221,کلاس 110 کجاست؟,2
222,بخش پایان نامه ها و رساله ها ی کتابخانه کجاست؟,3
223,رنک رشته مهندسی کامپیوتر شهید بشهتی در کشور چیست؟,5
224,کجا کار میکنی؟,5
225,در صورت آسیب رساندن به کتاب ها چقد جریمه می شوم؟,3
226,لطفا مسابقات برنامه نویسی برگزار کنید.,4
227,اسانسور خراب شده رسیدگی کنید,4
